subscriber,channel_avg_views,channel_avg_like_rate,title_length,tag_density,desc_length,desc_keyword_count,title_upper_ratio,desc_has_youtube_link,desc_has_timestamp,channel_has_digit,channel_has_special,title_ends_with_punct,category_1,category_2,category_10,category_15,category_17,category_19,category_20,category_22,category_23,category_24,category_25,category_26,category_27,category_28,category_29,period_Afternoon,period_Dawn,period_Evening,period_Morning,log_views
37489,1694708.0,0.0259614045605496,60,0.1833333333333333,115,1,0.3666666666666666,0,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,14.343021602641818
51151,108297.0,0.0021422569415588,43,0.627906976744186,158,0,0.1162790697674418,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,11.592641965597878
26383080,21356623.75,0.0381868215141613,42,0.1428571428571428,595,1,0.1428571428571428,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,17.090707546276107
410738,147851.0,0.035975407673942,31,1.2903225806451613,628,1,0.1290322580645161,0,0,1,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,11.903967052412668
313288,472936.0,0.0060621310282998,54,0.037037037037037,304,0,0.1296296296296296,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,13.06671746621417
125,122634.0,0.0237128365706084,20,0.2,102,0,0.2,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,11.716967742982037
6366779,1698864.4285714286,0.0245748097122756,46,0.6086956521739131,412,1,0.2826086956521739,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12.573915495608038
658161,102932.66666666669,0.0315137873485487,57,0.2280701754385964,588,0,0.175438596491228,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,11.633965413345972
6434929,2122343.5,0.0412761142354394,33,0.4545454545454545,1841,1,0.0606060606060606,1,0,0,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,13.711016333634406
1935019,459969.0,0.0356524026619185,50,0.28,277,0,0.18,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13.038916548947228
1060292,607238.75,0.0215009101253917,17,0.3529411764705882,406,1,0.1764705882352941,0,0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12.998415628892513
2119249,341672.73333333334,0.0085267263302943,65,0.1538461538461538,682,0,0.1076923076923077,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,10.456970285968099
517,22302.0,0.0037216393148596,51,0.0,0,0,0.1176470588235294,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10.012476477547958
5988586,448801.5,0.0351851054666203,75,0.12,1563,0,0.1733333333333333,1,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12.882241506678989
511999,424312.0,0.0199137103009356,39,1.1282051282051282,648,0,0.5128205128205128,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,12.77357440018972
5019780,1856410.0,0.0205310249352244,48,0.3541666666666667,882,1,0.2291666666666666,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,14.434155611778705
2376164,590848.5,0.0209462520146113,66,0.4090909090909091,2553,2,0.1212121212121212,1,0,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,12.181493026555783
2720,517865.0,0.0012939589056577,50,0.06,0,0,0.1,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,13.830586345057993
1387,47760.0,0.0027638190954773,54,0.1481481481481481,258,0,0.0185185185185185,0,0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.773964685870737
16874196,2250045.1818181816,0.0297310576599278,55,0.509090909090909,2006,0,0.4,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,14.68019299847612
5008492,2336349.4166666665,0.0534040986351339,85,0.3058823529411765,4291,5,0.0705882352941176,1,0,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,14.54976081353765
169723,263816.0,0.016882065347492,58,0.1379310344827586,1482,1,0.1034482758620689,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,9.263122557415151
23182596,1993920.2916666667,0.0205177698665922,57,0.543859649122807,424,0,0.1228070175438596,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13.960150150456805
7257810,17679753.0,0.0140787600369756,60,0.2833333333333333,694,0,0.1333333333333333,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,16.687930701049822
3008137,204053.3,0.0575586636469068,72,0.1666666666666666,732,2,0.4166666666666667,1,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,12.293107772237777
