Model,R²,RMSE,MAE
"Lasso (α=0.001, 保留31/32特征)",0.28899722055968813,1.550859693122712,1.2531925106559432
OLS,0.28881041076757785,1.5510634171851674,1.2539945179560577
Ridge (α=100),0.2876570781577634,1.5523205836103837,1.2543834713210675
"ElasticNet (α=0.1, l1_ratio=0.1)",0.283945224888312,1.5563597194376384,1.2564189124211873
