Variable,Skew_Org,Skew_Trans,Skew_Imp_Pct,Kurt_Org,Kurt_Trans,W_Org,W_Trans,W_Imp_Pct
view_count,9.275002071912473,0.21450936890084893,97.68723104062211,119.93025180984121,5.659609345604208,0.32728259418388195,0.9611076853290061,193.66293912624423
likes,9.699043111226066,-0.9358406510604621,90.35120639914177,133.9011795396516,7.323018042664293,0.31313671779664276,0.9446083005491892,201.66002479550698
comment_count,32.151560739380585,-0.7860395045252261,97.55520576155902,1522.241988078569,5.991028791748377,0.14389956962493577,0.9379593690822182,551.8152705577537
title_length,0.6500978924075866,-0.5839190601643998,10.17982568718978,0.6578590918134806,0.7711486195521808,0.9668025316939559,0.9778917401671855,1.1469982865890864
tags_count,0.6741597026155378,-0.874019655736122,-29.64578754042808,0.463706762293028,-0.5843709334672011,0.9341109753858307,0.8448635346181035,-9.554265298174437
channel_activity,3.5503462416311926,0.5635862718870658,84.12587861773932,19.59058981796475,-0.14145538540053026,0.6747054550367957,0.9286792131455708,37.64216758776975
channel_avg_views,7.0902672329162995,0.037997511241171955,99.46408915217229,76.4373296963906,6.033910045752462,0.4408728956669832,0.9654180249766349,118.9787656408506
channel_avg_like_rate,1.0127425988088228,0.8866902234494178,12.446635058865542,2.059161844462612,1.5224279199860624,0.945828416669542,0.9550564893799751,0.9756603362507431
channel_avg_comment_count,7.0400306806369874,6.752246026740612,4.087832382434113,102.2585120684046,94.40031477679307,0.6086774981999431,0.6185149813246607,1.616206144273475
channel_name_len,1.486286923403058,-0.33694673521134527,77.32963064494575,4.8310570294113155,0.48720778276353904,0.9104006655046732,0.9793875981781311,7.577645237683954
desc_length,1.9232554343597843,-2.518562050819694,-30.95307081027831,6.192708906625548,9.018255928183478,0.8316885603726234,0.7750672910750162,-6.8079894320344
