,Mean,Std,Median,Skewness,Kurtosis,Remark
view_count,1987918.1450536111,4588573.029728762,861044.0,9.275002071912473,119.93025180984121,"显著偏态, 尖峰/平峰"
likes,92888.92494436578,232951.95704828022,37222.0,9.699043111226066,133.9011795396516,"显著偏态, 尖峰/平峰"
comment_count,5957.409670240744,23760.18327057432,2334.0,32.151560739380585,1522.241988078569,"显著偏态, 尖峰/平峰"
title_length,50.47461056038843,20.39580306345554,47.0,0.6500978924075866,0.6578590918134806,正常
tags_count,15.704632814080519,12.700171945452622,15.0,0.6741597026155378,0.463706762293028,正常
channel_activity,4.641108638478657,4.824003425570011,3.0,3.5503462416311926,19.59058981796475,"显著偏态, 尖峰/平峰"
channel_avg_views,1987918.1450617036,3539876.8430190505,935445.0,7.0902672329162995,76.4373296963906,"显著偏态, 尖峰/平峰"
channel_avg_like_rate,0.0515368000604446,0.031400143190446934,0.0481035490669661,1.0127425988088228,2.059161844462612,显著偏态
channel_avg_comment_count,0.00373986519487661,0.0037264436749578564,0.0029547085391076,7.0400306806369874,102.2585120684046,"显著偏态, 尖峰/平峰"
channel_name_len,12.156787376087395,5.836423432472237,11.0,1.486286923403058,4.8310570294113155,"显著偏态, 尖峰/平峰"
desc_length,1020.2031155168926,920.8671324417512,747.0,1.9232554343597843,6.192708906625548,"显著偏态, 尖峰/平峰"
