"video_id","is_weekend","publish_hour","views","likes","comment_count","tag_appeared_in_title_count","tag_appeared_in_title_f","title_length","has_question","has_exclamation","tags_count","subscriber","interaction_rate","is_hot","is_weekend_f","has_question_f","has_exclamation_f","is_hot_f"
"817P8W8-mGE",0,0,36101955,998395,50709,2,"TRUE",57,0,0,12,28676937,0.0290594789118761,0,"0","0","0","0"
"0qpE8IHz3go",0,22,1152361,34441,3048,3,"TRUE",55,0,0,27,16874196,0.0325323401260543,0,"0","0","0","0"
"2HboMs0vbsE",0,14,3747210,244559,13636,3,"TRUE",52,0,0,9,5910437,0.0689032640284372,1,"0","0","0","1"
"Em9EI37Yy9g",0,4,1240044,10335,2883,7,"TRUE",50,0,0,49,3212413,0.0106592991861579,0,"0","0","0","0"
"e5N_Tq1EtRQ",0,14,413615,6413,586,4,"TRUE",60,0,0,32,3181914,0.0169215333099622,0,"0","0","0","0"
"tfaGleA4qYo",0,21,1059355,7922,1841,2,"TRUE",77,0,0,18,2081261,0.00921598519854062,0,"0","0","0","0"
"OZqsFkJpvj0",0,14,1388010,31247,956,3,"TRUE",53,0,0,10,23760020,0.0232008414924965,0,"0","0","0","0"
"0KFC9dZ7bxU",0,13,691515,11187,3069,2,"TRUE",39,0,0,6,892807,0.0206156048675734,0,"0","0","0","0"
"jLM2ibaRbrk",0,6,4110136,293974,24356,0,"FALSE",13,0,0,26,13608050,0.0774499919224084,1,"0","0","0","1"
"wSwewlSkIXU",0,5,1023627,33521,2422,8,"TRUE",49,0,0,20,1358269,0.0351133762591256,0,"0","0","0","0"
"44W9qstI8H8",0,16,568142,22210,1322,2,"TRUE",79,0,0,14,24589,0.0414192226591239,0,"0","0","0","0"
"sYorT6jRNDc",0,16,322802,1013,995,2,"TRUE",72,0,0,27,630508,0.00622053147130439,0,"0","0","0","0"
"fEskVQgtwaI",0,18,3337072,8744,991,3,"TRUE",54,0,0,11,51758,0.00291722803703366,0,"0","0","0","0"
"tNla9nyRMmQ",0,13,709836,29399,5118,1,"TRUE",52,0,0,27,3808198,0.0486267250463487,0,"0","0","0","0"
"o7iL2KzDh38",0,5,6262956,266912,13878,7,"TRUE",90,0,0,27,8428596,0.0448334620265574,0,"0","0","0","0"
"aA6Z0x4rX30",0,8,251338,8844,1029,5,"TRUE",57,0,0,21,3409429,0.0392817639990769,0,"0","0","0","0"
"OrwBc6PwAcY",0,7,849814,13150,797,3,"TRUE",35,0,0,13,2060009,0.0164118265879357,0,"0","0","0","0"
